"";"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"154";"Panangaden, Prakash P";"Department Computer Science, School of";"McGill";"RGPIN";"Probabilistic systems and applications";"5";"$51,000.00";51000
"155";"Parsons, Jeffrey BJ";"Department Business Administration, Faculty of";"Memorial Univ. of Nfld";"RGPIN";"Using classification principles to improve semantic information integration";"5";"$20,000.00";20000
"156";"Pattabiraman, Karthik K";"Department Electrical and Computer Engineering";"British Columbia";"RGPIN";"Building error-resilient applications on many-core platforms";"5";"$20,000.00";20000
"157";"Payeur, Pierre P";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Visual and tactile perception for robotic applications";"5";"$20,000.00";20000
"158";"Penn, Gerald GB";"Department Computer Science";"Toronto";"EQPEQ";"Massively parallel computing in natural language technology";"1";"$140,843.00";140843
"159";"Penn, Gerald GB";"Department Computer Science";"Toronto";"RGPIN";"Spoken language processing in ecologically valid contexts";"5";"$25,000.00";25000
"160";"Poulin, Pierre P";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"Complex appearance modeling and animation";"5";"$25,000.00";25000
"161";"Precup, Doina D";"Department Computer Science, School of";"McGill";"RGPIN";"Developmental reinforcement learning";"5";"$60,000.00";60000
"162";"Privat, Jean J";"Department Informatique";"Quebec a Montreal";"RGPIN";"A object-oriented programming language for robust software";"5";"$15,000.00";15000
"163";"Rappaport, David DH";"Department Computing, School of";"Queen's";"RGPIN";"Computational geometry and data analysis";"5";"$25,000.00";25000
"164";"Ray, Nilanjan N";"Department Computing Science";"Alberta";"RGPIN";"Feature correspondence for image analysis";"5";"$25,000.00";25000
"165";"Rayside, Derek DF";"Department Electrical & Computer Engineering";"Waterloo";"RGPIN";"Programming with specifications";"5";"$15,000.00";15000
"166";"Reformat, Marek M";"Department Electrical and Computer Engineering";"Alberta";"RGPIN";"Fuzziness and context-awareness in decision-making schemas for semantic web";"5";"$20,000.00";20000
"167";"Rilling, Juergen JE";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Ambient software engineering";"5";"$25,000.00";25000
"168";"Ripeanu, Matei M";"Department Electrical and Computer Engineering";"British Columbia";"EQPEQ";"An experimental platform to study massively multi-core processor support for active data storage services";"1";"$23,727.00";23727
"169";"Roy, Chanchal Kumar CK";"Department Computer Science";"Saskatchewan";"RGPIN";"Change, similarity and redundancy in software systems";"5";"$15,000.00";15000
"170";"Sadaoui, Samira S";"Department Computer Science";"Regina";"RGPIN";"Trust management and matchmaking system for multi-attribute reverse auctions";"5";"$20,000.00";20000
"171";"Sahinalp, Cenk CS";"Department Computing Science";"Simon Fraser";"RGPIN";"Bioinformatics algorithms- from sequence to structure and function";"5";"$43,000.00";43000
"172";"Salah, Aziz A";"Department Informatique";"Quebec a Montreal";"RGPIN";"Service management system: protocol similarity search";"5";"$15,000.00";15000
"173";"Schost, Eric E";"Department Computer Science";"Western Ontario";"RGPIN";"Efficient algorithms in computer algebra and their applications";"5";"$43,000.00";43000
"174";"Scott, Stacey SD";"Department Systems Design Engineering";"Waterloo";"EQPEQ";"Experimental platform for developing interactive surface computers to support complex, time-critical teamwork";"1";"$65,236.00";65236
"175";"Sedig, Kamran K";"Department Computer Science";"Western Ontario";"RGPIN";"Design of cognitive tools for everyday information-based activities";"5";"$15,000.00";15000
"176";"Shakshuki, Elhadi ES";"Department Computer Science, Jodrey School of";"Acadia";"RGPIN";"Cooperative intelligent distributed systems for context-aware and calendaring system";"5";"$15,000.00";15000
"177";"Shepherd, Bruce BF";"Department Mathematics and Statistics";"McGill";"RGPIN";"Polyhedral methods for optimization and algorithm design";"5";"$31,000.00";31000
"178";"Shepherd, Michael MA";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Context-aware web retrieval";"5";"$15,000.00";15000
"179";"Shiri-Varnaamkhaasti, Nematollaah N";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"High performance time series data analysis and pattern discovery";"1";"$15,000.00";15000
"180";"Shoja, Gholamali GC";"Department Computer Science";"Victoria";"RGPIN";"Leveraging social network theories to address data delivery issues in mobile ad hoc networks";"5";"$15,000.00";15000
"181";"Singh, Mohit M";"Department Computer Science, School of";"McGill";"RGPIN";"New techniques and directions in approximation algorithms";"5";"$31,000.00";31000
"182";"Smyth, Tamara TR";"Department Computing Science";"Simon Fraser";"RGPIN";"Modeling, extension, and parameter identification/estimation of vocal and musical instrument systems";"5";"$15,000.00";15000
"183";"Stewart, Neil NF";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"Robustness of subdivision-surface methods";"5";"$20,000.00";20000
"184";"Stojmenovic, Ivan I";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Data communication in wireless ad hoc, sensor and vehicular networks";"5";"$31,000.00";31000
"185";"Storey, Margaret-Anne M-AD";"Department Computer Science";"Victoria";"RGPIN";"Understanding the role of web 2.0 and social media in collaborative software development";"5";"$43,000.00";43000
